0 6694 4 1;0 10882 2750;10882 2750 1
0 6694 4 1;0 709 2750;709 2750 1
0 96 4 1;0 10318 10371 4842 13208 2750;10318 10371 4842 13208 2750 1
0 4933 5 1;0 12895 259;12895 259 1
0 2789 5 1;0 709 2750;709 2750 1
0 2920 961 4 1;0 12859 2430 7066 2750;12859 2430 7066 2750 1
0 2920 2698 5 1;0 2430 335 12388 2750;2430 335 12388 2750 1
0 4079 2069 5 1;0 165 5866 2750;165 5866 2750 1
0 5125 5 1;0 114 228;114 228 1
0 1787 4211 6 1;0 10318 1464 12388 12514 9740;10318 1464 12388 12514 9740 1
0 2547 6664 4 1;0 8655 4842 12388 2750;8655 4842 12388 2750 1
0 999 4374 4 1;0 1735 2750;1735 2750 1
0 2920 2223 4 1;0 2430 1826 12388 2750;2430 1826 12388 2750 1
0 2920 6956 4 1;0 2430 8674 2750;2430 8674 2750 1
0 3484 3027 4 1;0 2430 4808 2750;2430 4808 2750 1
0 5908 4 1;0 5668 3855 2750;5668 3855 2750 1
0 3717 2705 5 1;0 313 9281 259;313 9281 259 1
0 3717 2705 5 1;0 13039 259;13039 259 1
0 1131 6 1;0 10318 8088 9740;10318 8088 9740 1
0 3057 4211 4 1;0 3537 5866 2750;3537 5866 2750 1
0 4108 961 4 1;0 11096 7066 3537 2750;11096 7066 3537 2750 1
0 225 4310 6 1;0 656 11378 2430 9740;656 11378 2430 9740 1
0 934 4738 4 1;0 188 582 13614 2750;188 582 13614 2750 1
0 5361 487 4 1;0 13357 3524 2750;13357 3524 2750 1
0 5361 6519 4 1;0 1032 3524 2750;1032 3524 2750 1
0 5361 1098 4 1;0 6525 3524 2750;6525 3524 2750 1
0 5361 842 4 1;0 9721 8476 2750;9721 8476 2750 1
0 5804 4310 4 1;0 13429 2430 2750;13429 2430 2750 1
0 5804 6199 4 1;0 13429 11096 2750;13429 11096 2750 1
0 2097 4374 4 1;0 8751 2750;8751 2750 1
0 283 4738 4 1;0 8410 13614 2750;8410 13614 2750 1
0 283 6541 5 1;0 12186 8294 259;12186 8294 259 1
0 283 6541 5 1;0 8294 259;8294 259 1
0 5935 653 5 1;0 849 259;849 259 1
0 5935 653 5 1;0 12186 259;12186 259 1
0 5935 653 4 1;0 849 259;849 259 1
0 2062 5 1;0 12974 259;12974 259 1
0 2062 5 1;0 12866 259;12866 259 1
0 3551 5681 5 1;0 8032 5186 259;8032 5186 259 1
0 2547 2772 4 1;0 10075 12388 2750;10075 12388 2750 1
0 2547 2538 4 1;0 8655 4842 2750;8655 4842 2750 1
0 4266 4310 4 1;0 5220 2430 5186 2750;5220 2430 5186 2750 1
0 4266 6199 4 1;0 9974 11096 5866 259;9974 11096 5866 259 1
0 6959 5681 4 1;0 11136 2750;11136 2750 1
0 602 4738 4 1;0 11967 13614 259;11967 13614 259 1
0 2920 1226 4 1;0 2430 2628 2750;2430 2628 2750 1
0 3484 1558 4 1;0 2430 187 12388 2750;2430 187 12388 2750 1
0 3484 2762 4 1;0 2430 12834 12388 2750;2430 12834 12388 2750 1
0 5388 3027 4 1;0 2263 2750;2263 2750 1
0 5388 4310 4 1;0 11378 2430 2750;11378 2430 2750 1
0 6461 6199 4 1;0 7066 4918 11096 5866 2750;7066 4918 11096 5866 2750 1
0 1444 4211 4 1;0 6263 5866 2750;6263 5866 2750 1
0 1420 4310 4 1;0 11531 2430 2750;11531 2430 2750 1
0 3224 5 1;0 12591 259;12591 259 1
0 552 7101 4 1;0 12974 259;12974 259 1
0 426 5555 5 1;0 8974 259;8974 259 1
0 5930 4211 4 1;0 13568 12496 2750;13568 12496 2750 1
0 3931 4211 4 1;0 1874 5866 2750;1874 5866 2750 1
0 1507 5555 5 1;0 5637 259;5637 259 1
0 6224 5555 4 1;0 188 9112 5186 2750;188 9112 5186 2750 1
0 4108 4252 4 1;0 11096 9348 2750;11096 9348 2750 1
0 5291 4 1;0 2023 2750;2023 2750 1
0 5480 2698 6 1;0 2530 335 12388 9740;2530 335 12388 9740 1
0 225 5217 6 1;0 656 313 9740;656 313 9740 1
0 691 4899 4 1;0 10318 4842 2750;10318 4842 2750 1
0 5106 5454 4 1;0 9118 628 3524 2750;9118 628 3524 2750 1
0 5361 199 4 1;0 2980 7898 6532 2750;2980 7898 6532 2750 1
0 4947 4310 4 1;0 2430 2467 2750;2430 2467 2750 1
0 1937 3673 4 1;0 7697 8655 2420 8178 2750;7697 8655 2420 8178 2750 1
0 4545 5681 4 1;0 5675 4308 2750;5675 4308 2750 1
0 283 653 5 1;0 849 259;849 259 1
0 283 653 5 1;0 12186 259;12186 259 1
0 283 4135 5 1;0 3723 259;3723 259 1
0 283 2223 5 1;0 12186 259;12186 259 1
0 283 2055 4 1;0 5637 5866 2750;5637 5866 2750 1
0 2998 4302 5 1;0 8792 259;8792 259 1
0 2998 4302 5 1;0 3049 13208 6942 259;3049 13208 6942 259 1
0 3862 4738 4 1;0 2239 13614 2750;2239 13614 2750 1
0 3862 3673 4 1;0 2239 8655 2750;2239 8655 2750 1
0 6989 3642 4 1;0 11768 1911 2750;11768 1911 2750 1
0 2547 1447 4 1;0 10075 3537 2750;10075 3537 2750 1
0 5330 4310 4 1;0 10318 8644 12941 12388 2430 13208 1233 5866 2750;10318 8644 12941 12388 2430 13208 1233 5866 2750 1
0 4250 5555 4 1;0 9953 228;9953 228 1
0 4250 5555 4 1;0 2642 259;2642 259 1
0 2920 4717 4 1;0 2430 12797 12388 2750;2430 12797 12388 2750 1
0 2920 2631 4 1;0 2430 11535 2750;2430 11535 2750 1
0 3476 5608 4 1;0 494 737 2750;494 737 2750 1
0 3484 2918 4 1;0 2430 8902 10951 2750;2430 8902 10951 2750 1
0 3484 4037 4 1;0 2430 12054 2750;2430 12054 2750 1
0 3484 5053 4 1;0 2430 8902 6942 2750;2430 8902 6942 2750 1
0 3484 1926 4 1;0 2430 7038 6721 12388 2750;2430 7038 6721 12388 2750 1
0 3484 1679 4 1;0 2430 187 12388 2750;2430 187 12388 2750 1
0 3484 1679 4 1;0 4189 12388 2750;4189 12388 2750 1
0 3484 7089 4 1;0 2430 1054 10148 2750;2430 1054 10148 2750 1
0 5029 4310 4 1;0 12859 2430 11195 10527 3403 13597 2750;12859 2430 11195 10527 3403 13597 2750 1
0 379 5898 5 1;0 12374 5866 2750;12374 5866 2750 1
0 379 5898 5 1;0 8280 7990 5866 259;8280 7990 5866 259 1
0 379 5898 5 1;0 8280 12374 5866 228;8280 12374 5866 228 1
0 5698 6541 5 1;0 5995 259;5995 259 1
0 6184 2538 4 1;0 13236 4842 2750;13236 4842 2750 1
0 7086 5555 4 1;0 1760 2750;1760 2750 1
0 5993 2698 4 1;0 11365 335 12388 2750;11365 335 12388 2750 1
0 4738 7105 4 1;0 13614 8328 12388 2750;13614 8328 12388 2750 1
0 4738 6956 4 1;0 13614 10516 12388 2750;13614 10516 12388 2750 1
0 4738 6182 4 1;0 13614 780 12388 2750;13614 780 12388 2750 1
0 4357 4310 4 1;0 9037 2430 2750;9037 2430 2750 1
0 3057 973 4 1;0 63 2750;63 2750 1
